feature,klass,n,mean,std,skew,median
rx_nt,background,53811,0.016229348,5.0456333,-0.0014015944,0.0
rx_nt,interference,2829,0.91104513,23.951736,-0.270573,0.14125708
rx_nt,defect,2160,0.3973323,20.194225,0.107125744,-0.21735632
ry_nt,background,53811,0.043682437,5.030619,0.03749013,0.0
ry_nt,interference,2829,1.8868859,37.650635,3.1995885,0.14585163
ry_nt,defect,2160,-2.924899,17.468111,-0.42344296,-1.2199856
rz_nt,background,53811,-0.012369007,5.017459,0.009496916,0.0
rz_nt,interference,2829,3.1354113,15.470441,2.000316,0.5157876
rz_nt,defect,2160,-0.9622085,29.357384,-0.17923291,0.0
r_mag_nt,background,53811,8.00636,3.4408977,0.49879482,7.7031913
r_mag_nt,interference,2829,30.554276,36.20667,4.1749797,19.228868
r_mag_nt,defect,2160,31.385864,24.472685,1.3705097,23.60738
r_incl_deg,background,53811,-0.12084465,39.266888,0.005218977,0.0
r_incl_deg,interference,2829,3.7143734,28.782406,0.1029618,1.8831921
r_incl_deg,defect,2160,-0.48971426,44.893646,0.013437318,0.0
r_decl_deg,background,53811,1.1767011,103.912926,-0.0045040576,0.1390002
r_decl_deg,interference,2829,-2.543329,103.25707,-0.011065642,2.8651357
r_decl_deg,defect,2160,-8.435981,105.87905,0.15490778,-13.854565
dr_ds_nt_per_m,background,53811,-0.0018994529,4.856144,-0.003622709,0.013223618
dr_ds_nt_per_m,interference,2829,-0.007048865,12.946243,-0.14283337,-0.22892989
dr_ds_nt_per_m,defect,2160,0.062246725,24.049921,-0.036729153,0.6967201
d2r_ds2_nt_per_m2,background,53811,0.048419636,8.405246,-0.18143986,0.32768583
d2r_ds2_nt_per_m2,interference,2829,-0.11253008,12.799911,-0.64385825,0.3505742
d2r_ds2_nt_per_m2,defect,2160,-1.0724508,29.296637,-1.3058203,5.899989
drz_ds_nt_per_m,background,53811,0.0021619913,7.083752,0.0043447805,-0.037315946
drz_ds_nt_per_m,interference,2829,0.019781634,8.116665,-0.09456122,0.07791378
