feature,defect_vs_background,interference_vs_background,defect_vs_interference,base_rate_defect_vs_background,base_rate_interference_vs_background,base_rate_defect_vs_interference
rx_nt,0.25901395564602164,0.2792463733665637,0.43543275781179086,0.03859141341051616,0.049947033898305085,0.4329524954900782
ry_nt,0.26324949120453,0.2830035451229934,0.439557529962042,0.03859141341051616,0.049947033898305085,0.4329524954900782
rz_nt,0.2978627619844636,0.2230176148279976,0.5754604847991127,0.03859141341051616,0.049947033898305085,0.4329524954900782
r_mag_nt,0.6965877688478825,0.6433441731648325,0.45800364753020695,0.03859141341051616,0.049947033898305085,0.4329524954900782
r_incl_deg,0.04353764261225743,0.048365995830899663,0.5634291023959055,0.03859141341051616,0.049947033898305085,0.4329524954900782
r_decl_deg,0.04255461515967015,0.051218095081120074,0.45254548439891584,0.03859141341051616,0.049947033898305085,0.4329524954900782
dr_ds_nt_per_m,0.3419607601426526,0.15366908253489642,0.5470771419629319,0.03859141341051616,0.049947033898305085,0.4329524954900782
d2r_ds2_nt_per_m2,0.2733477870320267,0.09087720904862519,0.5902882111752042,0.03859141341051616,0.049947033898305085,0.4329524954900782
drz_ds_nt_per_m,0.2721802175643703,0.05855005408547043,0.6003297318346125,0.03859141341051616,0.049947033898305085,0.4329524954900782
gx_nt_per_m,0.08821223547060132,0.05427325407878839,0.5152345928699099,0.03859141341051616,0.049947033898305085,0.4329524954900782
gy_nt_per_m,0.08614843048371884,0.06820655069042407,0.5171753929329941,0.03859141341051616,0.049947033898305085,0.4329524954900782
gz_nt_per_m,0.13939330413965353,0.0687558196812449,0.529099012473053,0.03859141341051616,0.049947033898305085,0.4329524954900782
g_mag_nt_per_m,0.29428014078327147,0.08115128017360425,0.6382549415244414,0.03859141341051616,0.049947033898305085,0.4329524954900782
w2m_mean_nt,0.9061545696313149,0.774172622416111,0.4691479627432491,0.03859141341051616,0.049947033898305085,0.4329524954900782
w2m_std_nt,0.8721824180410678,0.45069430573423086,0.7478078826034124,0.03859141341051616,0.049947033898305085,0.4329524954900782
w2m_max_nt,0.9098712595534633,0.7242446218217866,0.5449857774197613,0.03859141341051616,0.049947033898305085,0.4329524954900782
w2m_ptp_nt,0.8683925581705252,0.44296223717595967,0.7431006998396821,0.03859141341051616,0.049947033898305085,0.4329524954900782
w2m_kurt,0.04154728105313105,0.05183874193874445,0.44108357797723724,0.03859141341051616,0.049947033898305085,0.4329524954900782
w2m_zcr,0.16285484135423606,0.20450219221324714,0.4555296451772098,0.03859141341051616,0.049947033898305085,0.4329524954900782
w2m_energy_nt2,0.9172081854796527,0.7757981987172935,0.48916414361159904,0.03859141341051616,0.049947033898305085,0.4329524954900782
w5m_mean_nt,0.9679997069053017,0.7978859507368496,0.4638983262665712,0.03859141341051616,0.049947033898305085,0.4329524954900782
w5m_std_nt,0.9295101605937892,0.5654067269322397,0.7221481971501014,0.03859141341051616,0.049947033898305085,0.4329524954900782
w5m_max_nt,0.9118786244858794,0.6532154263516854,0.5874983033966726,0.03859141341051616,0.049947033898305085,0.4329524954900782
